timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi
2022-02-15 05:00:00+00:00,8.03,8.05,7.74,8.02,6760665,25220,7.929372,,,,0.8133596948955906,
2022-02-16 05:00:00+00:00,8.1,8.365,7.835,7.94,5908336,20841,8.122558,,,,0.7108179988655899,
2022-02-17 05:00:00+00:00,7.9,8.19,7.75,7.86,5229845,21773,7.890481,,,,0.6291903434871022,
2022-02-18 05:00:00+00:00,7.7397,7.87,7.605,7.67,5541740,26781,7.713459,,,,0.6667136968908665,
2022-02-22 05:00:00+00:00,7.96,8.06,7.54,7.7,6688663,24684,7.753344,,,,0.80469730373261,
2022-02-23 05:00:00+00:00,7.82,8.06,7.705,7.88,7945403,34606,7.889261,-0.0174563591022443,,,0.9558927353895674,
2022-02-24 05:00:00+00:00,8.12,8.49,7.97,8.29,16883227,64351,8.246568,0.044080604534004975,,,2.0311813056220056,
2022-02-25 05:00:00+00:00,8.32,8.52,8.16,8.31,9425875,39191,8.329927,0.057251908396946494,,,1.1340048374122922,
2022-02-28 05:00:00+00:00,8.292,8.825,8.292,8.78,10621298,35248,8.708559,0.14471968709256844,,,1.2778233651090751,
2022-03-01 05:00:00+00:00,8.89,9.005,8.535,8.64,13382802,52933,8.750113,0.12207792207792223,,,1.6100534121374301,
2022-03-02 05:00:00+00:00,8.93,9.01,8.52,8.6,13203585,44894,8.699665,0.09137055837563457,,,1.588492236655417,
2022-03-03 05:00:00+00:00,8.29,8.54,8.12,8.39,14739071,42886,8.374947,0.012062726176115923,,,1.7732229435424542,
2022-03-04 05:00:00+00:00,8.46,8.66,8.31,8.58,15088946,48819,8.512692,0.032490974729241895,,,1.8153155813601238,
2022-03-07 05:00:00+00:00,8.76,9.24,8.425,8.84,18775988,56311,8.833495,0.006833712984054774,,,2.25889492691078,
2022-03-08 05:00:00+00:00,9.0,9.3,8.4,8.46,22949722,70291,8.821529,-0.02083333333333326,,,2.7610270415497027,58.20895522388063
2022-03-09 05:00:00+00:00,8.16,8.46,7.98,8.45,16571253,59799,8.235505,-0.01744186046511631,,,1.993648447914168,57.97598627787306
2022-03-10 05:00:00+00:00,8.5,8.67,8.27,8.37,10014625,39307,8.416129,-0.0023837902264601807,,,1.2048359642866129,56.043535563964106
2022-03-11 05:00:00+00:00,8.2,8.29,7.92,8.01,8637762,37154,8.058618,-0.06643356643356646,,,1.039188817209657,48.249686765306265
2022-03-14 04:00:00+00:00,7.92,7.92,7.35,7.6,12253960,57534,7.543114,-0.14027149321266974,,,1.4742450878519746,41.21910798303616
2022-03-15 04:00:00+00:00,7.19,7.695,7.11,7.63,10539636,41766,7.517137,-0.09810874704491734,,,1.2679988020809465,41.886370398502216
2022-03-16 04:00:00+00:00,7.62,7.77,7.44,7.61,7445374,38066,7.596626,-0.09940828402366853,-0.05112219451371558,,0.8957354232199883,41.54775904206614
2022-03-17 04:00:00+00:00,7.82,8.07,7.81,7.9,7923292,37020,7.944129,-0.05615292712066888,-0.005037783375314908,,0.9532326130179019,48.09945043921701
2022-03-18 04:00:00+00:00,7.81,7.96,7.71,7.94,12727677,26154,7.894036,-0.008739076154806402,0.010178117048346147,,1.53123686522696,48.94941278340407
2022-03-21 04:00:00+00:00,8.13,8.2666,8.0,8.17,6845130,27195,8.137063,0.07499999999999996,0.0651890482398958,,0.8235214802568466,53.64978263827729
2022-03-22 04:00:00+00:00,8.17,8.22,7.9266,8.01,5771139,21261,8.04254,0.04980340760157276,0.04025974025974022,,0.6943121506893247,50.18793874880119
2022-03-23 04:00:00+00:00,8.23,8.3,8.025,8.23,8336577,26755,8.194382,0.08147174770039434,0.04441624365482233,,1.0029539586998613,54.53233605598547
2022-03-24 04:00:00+00:00,8.15,8.36,8.11,8.23,7252420,23290,8.254282,0.04177215189873418,-0.007237635705669376,,0.8725215815980645,54.532336055985475
2022-03-25 04:00:00+00:00,8.1,8.765,8.1,8.65,14926264,42787,8.591299,0.08942065491183881,0.04091456077015643,,1.7957436928129167,61.89127809456958
2022-03-28 04:00:00+00:00,8.362,8.46,8.17,8.27,19875440,57746,8.283909,0.012239902080783294,-0.05808656036446469,,2.391167409465728,53.46054882411529
2022-03-29 04:00:00+00:00,8.17,8.47,7.91,8.47,8466044,26759,8.267071,0.05742821473158566,-0.01967592592592593,,1.018529828768715,56.79625770663807
2022-03-30 04:00:00+00:00,8.58,8.82,8.36,8.4,8081305,30878,8.520949,0.020656136087484844,-0.023255813953488302,,0.9722427851636207,55.3022179271216
2022-03-31 04:00:00+00:00,8.25,8.4675,8.05,8.07,9422794,27884,8.177154,-0.019441069258809285,-0.038140643623361226,,1.133634169553439,48.78675926809527
2022-04-01 04:00:00+00:00,8.3,9.15,8.27,8.78,20767351,67690,8.808914,0.015028901734103872,0.023310023310023187,,2.49847112275932,59.76902790818643
2022-04-04 04:00:00+00:00,8.93,9.195,8.77,8.93,9378799,35929,8.944895,0.07980652962515111,0.010180995475113086,,1.1283412346458623,61.640569770849105
2022-04-05 04:00:00+00:00,8.97,9.075,8.63,8.67,7284779,26034,8.762972,0.023612750885477984,0.024822695035460862,,0.8764146167310176,56.71555040221469
