Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,weekly change,monthly change,yearly change,relative_vol,rsi,symbol,sma50,sma200
2022-02-22 00:00:00-05:00,0.9700000286102295,1.100000023841858,0.9700000286102295,1.0099999904632568,269300,0,0,,,,0.20083859367042006,,PSTV,,
2022-02-23 00:00:00-05:00,1.0,1.059999942779541,0.9800000190734863,1.0099999904632568,187600,0,0,,,,0.13990835563524248,,PSTV,,
2022-02-24 00:00:00-05:00,0.8999999761581421,1.0499999523162842,0.8899999856948853,1.0099999904632568,274400,0,0,,,,0.20464207242169796,,PSTV,,
2022-02-25 00:00:00-05:00,0.9800000190734863,1.0299999713897705,0.9599999785423279,1.0299999713897705,47900,0,0,,,,0.035722869056120016,,PSTV,,
2022-02-28 00:00:00-05:00,1.0099999904632568,1.0700000524520874,0.9900000095367432,1.0399999618530273,198100,0,0,,,,0.14773904718199113,,PSTV,,
2022-03-01 00:00:00-05:00,1.0199999809265137,1.1399999856948853,1.0199999809265137,1.100000023841858,271900,0,0,0.08910894478060416,,,0.20277762205342448,,PSTV,,
2022-03-02 00:00:00-05:00,1.090000033378601,1.100000023841858,1.0499999523162842,1.0499999523162842,80200,0,0,0.03960392300071258,,,0.05981156781421348,,PSTV,,
2022-03-03 00:00:00-05:00,1.0499999523162842,1.1200000047683716,1.0199999809265137,1.100000023841858,181000,0,0,0.08910894478060416,,,0.13498620666300049,,PSTV,,
2022-03-04 00:00:00-05:00,1.0700000524520874,1.100000023841858,1.0,1.0,146000,0,0,-0.02912618662434696,,,0.10888390150717166,,PSTV,,
2022-03-07 00:00:00-05:00,0.9800000190734863,1.0399999618530273,0.949999988079071,0.9800000190734863,247600,0,0,-0.05769225478877493,,,0.1846551644738062,,PSTV,,
2022-03-08 00:00:00-05:00,0.9800000190734863,1.0499999523162842,0.949999988079071,0.9900000095367432,311100,0,0,-0.10000001083720789,,,0.23201220382795276,,PSTV,,
