Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,weekly change,monthly change,yearly change,relative_vol,rsi,symbol,sma50,sma200
2022-11-10 00:00:00-05:00,2.200000047683716,2.809999942779541,1.6399999856948853,2.25,3613400,0,0,,,,7.36211127457296,,SNAL,,
2022-11-11 00:00:00-05:00,4.199999809265137,4.360000133514404,2.9200000762939453,3.0,20072500,0,0,,,,40.89665648941876,,SNAL,,
2022-11-14 00:00:00-05:00,2.6600000858306885,3.5,2.609999895095825,3.369999885559082,1841300,0,0,,,,3.751551306213315,,SNAL,,
2022-11-15 00:00:00-05:00,3.1700000762939453,3.568000078201294,3.1619999408721924,3.3499999046325684,920400,0,0,,,,1.8752662913369549,,SNAL,,
2022-11-16 00:00:00-05:00,3.25,3.372999906539917,2.9800000190734863,3.0899999141693115,410800,0,0,,,,0.836983259975251,,SNAL,,
2022-11-17 00:00:00-05:00,2.9200000762939453,3.319999933242798,2.9000000953674316,3.049999952316284,336500,0,0,0.35555553436279297,,,0.6856009420196494,,SNAL,,
2022-11-18 00:00:00-05:00,3.130000114440918,3.2899999618530273,3.0369999408721924,3.0399999618530273,230900,0,0,0.013333320617675781,,,0.4704465304972869,,SNAL,,
2022-11-21 00:00:00-05:00,3.0299999713897705,3.2100000381469727,3.0299999713897705,3.0850000381469727,193000,0,0,-0.08456969053125885,,,0.3932272862103784,,SNAL,,
2022-11-22 00:00:00-05:00,3.0999999046325684,3.119999885559082,2.859999895095825,2.9200000762939453,178800,0,0,-0.12835816136710787,,,0.3642955376912728,,SNAL,,
2022-11-23 00:00:00-05:00,2.9600000381469727,3.559999942779541,2.809999942779541,2.8499999046325684,1305000,0,0,-0.07766990815637698,,,2.6588684378473775,,SNAL,,
2022-11-25 00:00:00-05:00,2.8499999046325684,2.9000000953674316,2.700000047683716,2.8399999141693115,30600,0,0,-0.06885247260003746,,,0.06234588061159368,,SNAL,,
2022-11-28 00:00:00-05:00,2.740000009536743,2.815999984741211,2.5,2.559999942779541,109100,0,0,-0.15789474509759638,,,0.22228547629819836,,SNAL,,
