timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi
2022-02-15 05:00:00+00:00,5.76,5.92,5.67,5.77,2771380,13806,5.775748,,,,1.2366149692539266,
2022-02-16 05:00:00+00:00,5.66,5.91,5.61,5.8,1572905,8532,5.771578,,,,0.7018445208576042,
2022-02-17 05:00:00+00:00,5.76,5.85,5.33,5.37,4063218,15207,5.549501,,,,1.8130448376411754,
2022-02-18 05:00:00+00:00,5.32,5.49,5.16,5.21,2665823,14051,5.255378,,,,1.1895144755253375,
2022-02-22 05:00:00+00:00,5.12,5.375,5.01,5.08,2692334,14201,5.14688,,,,1.2013439249151328,
2022-02-23 05:00:00+00:00,5.06,5.315,4.835,4.87,2873396,15130,5.0186,-0.1559792027729635,,,1.28213543656747,
2022-02-24 05:00:00+00:00,4.55,4.78,4.46,4.75,3184298,12574,4.662254,-0.18103448275862066,,,1.4208627374684595,
2022-02-25 05:00:00+00:00,5.11,5.365,4.95,5.28,2858396,14660,5.201149,-0.016759776536312776,,,1.2754423001015907,
2022-02-28 05:00:00+00:00,5.25,5.7,5.21,5.64,1993028,9171,5.54774,0.08253358925143939,,,0.8893072256212481,
2022-03-01 05:00:00+00:00,5.67,5.82,5.52,5.67,1605383,7700,5.664524,0.11614173228346458,,,0.7163364999335263,
2022-03-02 05:00:00+00:00,5.67,5.72,5.42,5.57,1468905,8223,5.545316,0.14373716632443534,,,0.6554387746941736,
2022-03-03 05:00:00+00:00,5.56,5.57,4.805,4.85,2913923,13655,5.027306,0.021052631578947212,,,1.300218952670983,
2022-03-04 05:00:00+00:00,4.8,4.94,4.65,4.74,1913447,9502,4.773446,-0.10227272727272729,,,0.8537974594151714,
2022-03-07 05:00:00+00:00,4.72,4.85,4.48,4.5,2725634,16022,4.644907,-0.202127659574468,,,1.2162026878693852,
2022-03-08 05:00:00+00:00,4.46,4.9,4.2801,4.69,2289499,12672,4.683314,-0.17283950617283939,,,1.0215952830329638,33.928571428571445
2022-03-09 05:00:00+00:00,4.825,5.2,4.77,5.06,1776852,10138,5.035122,-0.09156193895870746,,,0.7928475277113849,40.93327875562832
2022-03-10 05:00:00+00:00,5.0,5.2364,4.94,4.99,1491094,8868,5.036251,0.02886597938144342,,,0.6653397083636001,40.06780705809833
2022-03-11 05:00:00+00:00,5.09,5.22,4.7,4.7,1469805,8280,4.894307,-0.008438818565400852,,,0.6558403628821263,36.613926724483456
2022-03-14 04:00:00+00:00,4.72,4.77,4.515,4.56,1596413,8702,4.613491,0.013333333333333197,,,0.7123340043269304,35.043443821467605
2022-03-15 04:00:00+00:00,4.65,4.93,4.53,4.88,1435022,8566,4.816874,0.04051172707889106,,,0.6403198718359474,41.24677853389592
2022-03-16 04:00:00+00:00,4.92,5.18,4.86,5.09,2457024,13946,5.067357,0.005928853754940677,-0.11785095320623917,,1.0963464621293937,44.9614724114147
2022-03-17 04:00:00+00:00,5.06,5.35,5.0201,5.33,1743349,13355,5.255191,0.06813627254509025,-0.08103448275862069,,0.7778981843102943,48.93512801124187
2022-03-18 04:00:00+00:00,5.33,5.52,5.158,5.26,13421079,20237,5.286069,0.11914893617021272,-0.020484171322160183,,5.988607551089896,47.85001009978186
2022-03-21 04:00:00+00:00,5.28,5.38,4.96,5.08,2511644,14428,5.091284,0.11403508771929838,-0.0249520153550864,,1.1207184030471493,45.08169459885346
2022-03-22 04:00:00+00:00,5.1,5.415,5.06,5.34,1794702,12529,5.292669,0.09426229508196715,0.051181102362204633,,0.8008123601057814,49.61600912134704
2022-03-23 04:00:00+00:00,5.27,5.435,5.065,5.31,2249976,12581,5.319198,0.043222003929273,0.09034907597535935,,1.003959760863567,49.1121420464585
2022-03-24 04:00:00+00:00,5.29,5.42,5.22,5.36,1337482,7335,5.346936,0.0056285178236397115,0.128421052631579,,0.5967966364438222,50.02309704709137
2022-03-25 04:00:00+00:00,5.35,5.3898,5.1,5.16,1250590,9508,5.172059,-0.019011406844106404,-0.022727272727272707,,0.558024635524276,46.441829644525754
2022-03-28 04:00:00+00:00,5.24,5.42,5.16,5.25,2080617,13252,5.276669,0.0334645669291338,-0.06914893617021267,,0.9283902342819089,48.23770781043375
2022-03-29 04:00:00+00:00,5.3,5.65,5.3,5.59,1611313,9951,5.52994,0.04681647940074907,-0.014109347442680775,,0.7189825198830373,54.451368856101766
2022-03-30 04:00:00+00:00,5.473,5.8,5.473,5.58,2858358,15260,5.646014,0.05084745762711873,0.0017953321364452268,,1.2754253441558772,54.24511576519105
2022-03-31 04:00:00+00:00,5.62,5.62,5.02,5.08,2919662,15587,5.151561,-0.052238805970149294,0.04742268041237119,,1.3027797466828286,45.05555603262496
2022-04-01 04:00:00+00:00,5.22,5.85,4.95,5.6,4280374,22456,5.492543,0.0852713178294573,0.18143459915611793,,1.9099418204668093,53.81799271556643
2022-04-04 04:00:00+00:00,5.54,5.9,5.53,5.79,2472124,15250,5.812848,0.10285714285714276,0.2866666666666666,,1.1030842195050456,56.544938003816526
2022-04-05 04:00:00+00:00,5.61,5.82,5.6,5.8,2482426,14855,5.749988,0.0375670840787119,0.23667377398720668,,1.1076810656298117,56.68988992941056
2022-04-06 04:00:00+00:00,5.6,5.685,5.475,5.52,1668188,9997,5.558715,-0.010752688172043112,0.09090909090909083,,0.7443606623161635,51.50894490552263
2022-04-07 04:00:00+00:00,5.53,5.56,5.24,5.4,1575157,9520,5.360322,0.06299212598425208,0.0821643286573146,,0.7028493837456816,49.42420923323706
2022-04-08 04:00:00+00:00,5.35,5.37,5.15,5.25,1094056,7683,5.268433,-0.06249999999999989,0.11702127659574457,,0.4881777406209447,46.870549183398595
2022-04-11 04:00:00+00:00,5.16,5.32,5.02,5.03,1662984,9771,5.117473,-0.1312607944732297,0.10307017543859653,,0.742038590171601,43.33408631894116
2022-04-12 04:00:00+00:00,5.09,5.23,5.0154,5.06,1579474,8862,5.130396,-0.12758620689655176,0.03688524590163933,,0.7047756684205617,43.955081965284265
2022-04-13 04:00:00+00:00,5.05,5.61,5.05,5.58,1863439,10521,5.437124,0.010869565217391353,0.09626719056974453,,0.8314834348561249,53.47293672598644
2022-04-14 04:00:00+00:00,5.57,5.8499,5.57,5.72,2438809,13048,5.705736,0.05925925925925912,0.07317073170731692,,1.0882187634143277,55.65638690437539
2022-04-18 04:00:00+00:00,5.7,5.7399,5.2,5.29,2422765,13614,5.380942,0.007619047619047636,0.005703422053231932,,1.0810597846504229,48.17794655105764
2022-04-19 04:00:00+00:00,5.31,5.75,5.23,5.67,1350336,7787,5.551628,0.12723658051689846,0.11614173228346458,,0.6025322081859832,54.053494028442316
2022-04-20 04:00:00+00:00,5.67,5.765,5.43,5.63,1329335,8783,5.648313,0.11264822134387353,0.054307116104868935,,0.5931613709246543,53.3675759072504
2022-04-21 04:00:00+00:00,5.65,5.84,5.315,5.33,1823449,9767,5.524353,-0.04480286738351258,0.0037664783427495685,,0.8136395330380903,48.40626933383197
2022-04-22 04:00:00+00:00,5.35,5.48,5.22,5.27,1217786,8256,5.317336,-0.07867132867132876,-0.01679104477611959,,0.5433871922824954,47.45604787425095
2022-04-25 04:00:00+00:00,5.27,5.49,5.17,5.45,1181467,7568,5.371625,0.030245746691871522,0.056201550387597,,0.5271813240622104,50.58967195982689
