timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi,symbol
2022-02-16 05:00:00+00:00,8.23,8.52,8.23,8.47,1313922,10895,8.452016,,,,0.8583698887620219,,AXL
2022-02-17 05:00:00+00:00,8.32,8.435,8.215,8.36,948955,10292,8.34536,,,,0.6199412124845801,,AXL
2022-02-18 05:00:00+00:00,8.26,8.57,8.255,8.27,2082227,16534,8.376689,,,,1.3602945672325135,,AXL
2022-02-22 05:00:00+00:00,8.09,8.29,7.9,7.91,3288204,21661,8.089981,,,,2.148145248886034,,AXL
2022-02-23 05:00:00+00:00,8.14,8.81,8.05,8.46,3881502,29348,8.601027,,,,2.53573989930115,,AXL
2022-02-24 05:00:00+00:00,8.01,8.45,7.965,8.45,2237702,19353,8.23373,-0.0023612750885479983,,,1.4618645679291116,,AXL
2022-02-25 05:00:00+00:00,8.48,8.63,8.384,8.63,1241628,11046,8.562433,0.0322966507177036,,,0.8111410633536936,,AXL
2022-02-28 05:00:00+00:00,8.9,9.37,8.88,9.26,3789793,22017,9.181008,0.11970979443772678,,,2.4758274812668404,,AXL
2022-03-01 05:00:00+00:00,9.15,9.29,8.44,8.48,2133852,19315,8.669867,0.07206068268015176,,,1.3940205764684799,,AXL
2022-03-02 05:00:00+00:00,8.54,8.87,8.5,8.78,1547860,14411,8.708255,0.03782505910165468,,,1.0111988504790872,,AXL
2022-03-03 05:00:00+00:00,8.73,8.81,8.43,8.53,1271583,12021,8.554227,0.00946745562130169,,,0.8307103148144853,,AXL
2022-03-04 05:00:00+00:00,8.31,8.47,7.86,7.96,2071762,16086,8.026998,-0.07763615295480886,,,1.3534579050212905,,AXL
2022-03-07 05:00:00+00:00,7.91,7.95,7.24,7.28,2146571,21135,7.463658,-0.21382289416846645,,,1.4023297505405816,,AXL
2022-03-08 05:00:00+00:00,7.36,7.795,7.015,7.51,2436628,21770,7.447274,-0.11438679245283023,,,1.591820599178968,,AXL
2022-03-09 05:00:00+00:00,7.84,8.29,7.8,8.18,2040385,17314,8.110968,-0.06833712984054663,,,1.3329596775772825,47.31977818853973,AXL
2022-03-10 05:00:00+00:00,7.98,8.405,7.93,8.4,1618760,14966,8.293154,-0.015240328253223745,,,1.057516991977005,49.53003677973028,AXL
2022-03-11 05:00:00+00:00,8.48,8.66,8.355,8.4,2218371,16655,8.479534,0.05527638190954787,,,1.449235851521548,49.53003677973029,AXL
2022-03-14 04:00:00+00:00,8.48,8.48,7.99,8.06,1442566,12854,8.177403,0.1071428571428572,,,0.9424115106923203,46.06585827539031,AXL
2022-03-15 04:00:00+00:00,8.12,8.33,7.94,8.05,2009621,12259,8.063594,0.07190412782956068,,,1.3128619158700618,45.96403302039464,AXL
2022-03-16 04:00:00+00:00,8.25,8.7,8.1901,8.67,1750518,13639,8.551629,0.059902200488997526,,,1.1435929537186509,52.91346690236185,AXL
2022-03-17 04:00:00+00:00,8.5,8.6317,8.41,8.56,954869,9278,8.556294,0.01904761904761898,0.010625737898465104,,0.6238047595765221,51.64442596136766,AXL
2022-03-18 04:00:00+00:00,8.43,8.595,8.265,8.5,2762266,13853,8.466988,0.011904761904761862,0.01674641148325362,,1.8045560993355125,50.926961441644835,AXL
2022-03-21 04:00:00+00:00,8.54,8.54,8.18,8.27,910394,9999,8.275584,0.02605459057071946,0.0,,0.5947497617892175,48.16468603241073,AXL
2022-03-22 04:00:00+00:00,8.32,8.46,8.3,8.4,1033482,9136,8.381683,0.04347826086956519,0.06194690265486735,,0.6751617138441642,49.82136461787286,AXL
2022-03-23 04:00:00+00:00,8.22,8.35,8.04,8.05,1339257,12208,8.134405,-0.07151095732410606,-0.048463356973995286,,0.8749209482098322,45.596138419791124,AXL
2022-03-24 04:00:00+00:00,8.07,8.1399,8.0,8.08,1141824,7848,8.071572,-0.05607476635514019,-0.04378698224852062,,0.7459402764135215,46.01872468680922,AXL
2022-03-25 04:00:00+00:00,8.05,8.06,7.8597,7.97,1245633,9554,7.944604,-0.06235294117647061,-0.07647740440324458,,0.8137574830532586,44.64924410960894,AXL
2022-03-28 04:00:00+00:00,7.97,8.03,7.7,7.81,2631969,22056,7.817909,-0.055622732769044725,-0.1565874730021598,,1.7194345918213487,42.660586129760034,AXL
2022-03-29 04:00:00+00:00,7.99,8.355,7.96,8.19,1901560,14713,8.215346,-0.025000000000000133,-0.03419811320754729,,1.2422669273170786,48.52458818002508,AXL
2022-03-30 04:00:00+00:00,8.11,8.265,8.005,8.01,2361729,20394,8.092616,-0.00496894409937898,-0.08769931662870156,,1.542889957711372,46.11861536501944,AXL
2022-03-31 04:00:00+00:00,7.94,8.08,7.76,7.76,1852575,12688,7.852175,-0.03960396039603964,-0.09026963657678777,,1.2102655992313873,42.934509147725315,AXL
2022-04-01 04:00:00+00:00,7.86,7.92,7.5799,7.7,1470246,13827,7.701744,-0.03387703889585947,-0.03266331658291455,,0.9604945312376288,42.18179127123726,AXL
2022-04-04 04:00:00+00:00,7.73,7.78,7.58,7.62,1104111,11457,7.654905,-0.02432778489116516,0.04670329670329676,,0.7213028142088532,41.14598947733749,AXL
2022-04-05 04:00:00+00:00,7.51,7.56,7.125,7.17,2782714,17516,7.23573,-0.12454212454212454,-0.045272969374167804,,1.8179145387903703,35.81803391453587,AXL
2022-04-06 04:00:00+00:00,7.03,7.12,6.82,6.85,2445134,16443,6.89917,-0.14481897627965046,-0.1625916870415648,,1.5973774695820893,32.586606754200176,AXL
2022-04-07 04:00:00+00:00,6.71,6.775,6.405,6.66,2957811,21017,6.58325,-0.14175257731958757,-0.20714285714285718,,1.932303362794051,30.809298555397124,AXL
2022-04-08 04:00:00+00:00,6.63,6.83,6.52,6.76,2551608,17243,6.734176,-0.12207792207792212,-0.19523809523809532,,1.6669356895799639,32.884116514405584,AXL
2022-04-11 04:00:00+00:00,6.8,7.13,6.63,6.84,2163480,15864,6.904689,-0.10236220472440949,-0.15136476426799017,,1.4133762026504306,34.57438141392284,AXL
2022-04-12 04:00:00+00:00,6.91,7.2,6.91,6.95,1790062,12596,7.008059,-0.030683403068340276,-0.1366459627329193,,1.1694265868271652,36.92652381084272,AXL
2022-04-13 04:00:00+00:00,6.95,7.04,6.885,6.93,1218485,9724,6.945733,0.01167883211678844,-0.20069204152249143,,0.7960220118912632,36.66839902119518,AXL
2022-04-14 04:00:00+00:00,6.93,7.02,6.8226,6.86,1423495,9970,6.891077,0.03003003003003002,-0.19859813084112155,,0.9299526492465263,35.72707006433998,AXL
2022-04-18 04:00:00+00:00,6.85,6.96,6.745,6.87,1508059,10343,6.853835,0.016272189349112454,-0.19176470588235295,,0.9851973222737469,35.979913898337095,AXL
2022-04-19 04:00:00+00:00,6.89,7.32,6.89,7.27,1833973,11571,7.224548,0.0628654970760234,-0.12091898428053205,,1.198113130005093,45.25674337089375,AXL
2022-04-20 04:00:00+00:00,7.37,7.5,7.23,7.24,1380767,9937,7.304731,0.04172661870503602,-0.13809523809523816,,0.90203894614465,44.73319217377387,AXL
2022-04-21 04:00:00+00:00,7.41,7.48,6.97,6.97,1528020,10895,7.073911,0.005772005772005873,-0.1341614906832299,,0.9982376103194442,40.223163764398876,AXL
2022-04-22 04:00:00+00:00,6.75,6.96,6.72,6.77,1494769,9643,6.80075,-0.013119533527696903,-0.16212871287128716,,0.9765151205740666,37.22896093149841,AXL
2022-04-25 04:00:00+00:00,6.69,6.925,6.6,6.89,1595942,10908,6.815726,0.0029112081513826826,-0.13550815558343787,,1.0426102592167867,40.109658797121924,AXL
2022-04-26 04:00:00+00:00,6.75,6.8298,6.57,6.6,2073052,12259,6.660033,-0.09215955983493807,-0.15492957746478875,,1.3543006469469931,35.830198139370765,AXL
2022-04-27 04:00:00+00:00,6.64,6.74,6.47,6.54,1652550,11810,6.568306,-0.09668508287292821,-0.20146520146520142,,1.0795916041238973,34.99819745506916,AXL
2022-04-28 04:00:00+00:00,6.67,6.85,6.45,6.76,1417406,11901,6.674247,-0.03012912482065999,-0.15605493133583026,,0.9259747766995472,40.45773594214364,AXL
2022-04-29 04:00:00+00:00,6.68,6.93,6.59,6.62,1331320,10650,6.709593,-0.02215657311669117,-0.14690721649484528,,0.8697357988576605,38.2557368219617,AXL
2022-05-02 04:00:00+00:00,6.61,6.77,6.475,6.77,1308033,12022,6.630953,-0.01741654571843254,-0.12077922077922087,,0.8545226738779425,41.904186098303136,AXL
2022-05-03 04:00:00+00:00,6.75,6.97,6.65,6.92,1235344,12215,6.868639,0.048484848484848575,-0.09186351706036744,,0.8070357995853873,45.37993652112802,AXL
2022-05-04 04:00:00+00:00,6.86,7.17,6.735,7.17,1303474,12290,6.960482,0.09633027522935778,0.0,,0.8515443324521454,50.67646565909409,AXL
2022-05-05 04:00:00+00:00,6.99,7.18,6.93,7.07,1780985,15286,7.03889,0.04585798816568065,0.03211678832116793,,1.1634966887964655,48.6444945215534,AXL
2022-05-06 04:00:00+00:00,7.12,7.21,6.73,6.95,2111805,16289,6.920528,0.049848942598187396,0.04354354354354362,,1.3796175289987394,46.24803325087735,AXL
2022-05-09 04:00:00+00:00,6.71,6.95,6.545,6.68,1766994,16521,6.704944,-0.013293943870014702,-0.01183431952662728,,1.1543565319883222,41.31603861080774,AXL
2022-05-10 04:00:00+00:00,6.77,6.86,6.36,6.69,2249068,21516,6.614217,-0.03323699421965309,-0.021929824561403466,,1.4692898429116974,41.56459578285115,AXL
2022-05-11 04:00:00+00:00,6.74,7.17,6.66,6.71,2504001,18291,6.87092,-0.06415620641562059,-0.03453237410071941,,1.635834592791651,42.092862986128964,AXL
2022-05-12 04:00:00+00:00,6.62,6.73,6.415,6.6,1818859,16216,6.557103,-0.06647807637906655,-0.04761904761904767,,1.188239330419768,39.95352187307451,AXL
2022-05-13 04:00:00+00:00,6.79,7.175,6.78,7.13,1753464,16214,7.040487,0.025899280575539585,0.039358600583090375,,1.1455175410931624,52.48426645532004,AXL
2022-05-16 04:00:00+00:00,7.07,7.12,6.88,6.92,1223139,10407,6.973028,0.03592814371257491,0.00727802037845704,,0.7990624157069375,48.192855497309885,AXL
2022-05-17 04:00:00+00:00,7.15,7.42,7.08,7.42,2029815,15576,7.278016,0.10911808669656198,0.02063273727647874,,1.326054420093037,57.17198633245606,AXL
2022-05-18 04:00:00+00:00,7.32,7.43,7.01,7.03,1784333,14454,7.133989,0.04769001490312963,-0.029005524861878462,,1.1656838980734054,49.90626118071503,AXL
